course_code,course_title,course_teacher,link,fas_code,unique_code,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_score_mean,gem_score_median,gem_score_mode,gem_score_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_score,course_id,course_level,department,subject,qrd,divisional,gened,course_component,course_title_2023
ANTHRO 99A,Thesis Tutorial in Anthropology - Senior Year 001,Liebmann,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=287988da6fd67d168056fafd6a94b3b229584f1daee07d10775edfe18d6992396692ed8948ca00aeff16bb61b5330ba3&ReportType=2&regl=en-US,FAS-205184-2228-1-1-001,FAS-205184-2228-1-1-001(Liebmann),15.0,19.0,4.57,5.0,5.0,0.497569851956243,5.0,5.0,5.0,0.0,7.25,5.0,5.0,4.29,4.7,5.0,5.0,0.48,0.6648000000000001,0.70415,0.2714,0.332575655553239,0.0,0.0,0.0,0.0,"This is required, of course, but it is genuinely helpful! It's great to hear feedback from your peers on your writing and you become pretty familiar with each others' projects. It is stressful to produce 8 pages in two weeks as the course makes you do sometimes for the biweekly meetings (and let's be real we cram it last minute) but it is so helpful for progress on the thesis. You'll live! Pretty fair thesis tutorial compared to other departments.",0.9795,,0.0,,0.0,205184,Primarily for Undergraduate Students,Anthropology,Anthropology,,Social Sciences,,Tutorial,Thesis Tutorial in Anthropology - Senior Year
ANTHRO 1224,Hacker Culture and Politics 001,Coleman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=66edbb76c50d0f79256f12ef2485c994645dd230d75201f4a5e20482dca3763df2d86e6323dc27e99ad883f5b915c0ce&ReportType=2&regl=en-US,FAS-220175-2228-1-1-001,FAS-220175-2228-1-1-001(Coleman),7.0,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.5,5.0,5.0,2.74,5.0,5.0,5.0,0.0,0.8688333333333333,0.8723,0.7959,0.0712632677705234,0.0,0.0,0.0,0.0,"This was my favorite class! The professor is so passionate and knowledgeable about the topic. If you are interested in the internet, humor and online hacktivist superheroes, take this course! I learned so much about the history of the internet in general, online activism, and hackers. Also, if you are interested in discussing very important topics like Wikileaks, whistleblowers, internet security/privacy, and political protest in the 21st century, this is an essential course to take. The class is not only engaging and fun, but also very inspiring!",0.9383,,0.0,,0.0,,,,,,,,,
ANTHRO 1250,"The Pyramids of Giza: Technology, Archaeology, History 001",Manuelian,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fd404aa3a9d28a67a876d76e39d71f3a48000459dd11fa842bfbf58e727065086ceb58444bfb2653472e0e6bc7cdc259&ReportType=2&regl=en-US,FAS-127050-2228-1-1-001,FAS-127050-2228-1-1-001(Manuelian),15.0,17.0,4.33,5.0,5.0,0.7920692756152945,4.92,5.0,5.0,0.2726599243442907,5.07,5.0,5.0,2.05,4.07,4.0,5.0,0.96,0.79845,0.876,0.2363,0.2360663768640385,0.0,0.0,0.0,0.0,"I highly recommend this class if you are looking for something new. I took this class to push my slightly out of my comfort zone and really enjoyed the material. Some topics in the course can get slightly repetitive so I would recommend reading up on the topics and deciding if you are interesting before you sign up for this class. Also, the work definitely begins to pick up towards the end of the semester, especially with the final project so take this class seriously and it will be incredibly rewarding.",0.9543,,0.0,,0.0,,,,,,,,,
ANTHRO 1255,Human Diet: from Neanderthals to the future of food 001,Warinner,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3437750e846ab0057e2e5b6e1ab429e5804d36542e82e527faa1569b9130e23d5780816c366b8b0d79e7395b537c590a&ReportType=2&regl=en-US,FAS-212875-2228-1-1-001,FAS-212875-2228-1-1-001(Warinner),33.0,39.0,3.84,4.0,4.0,0.7654139963827327,4.44,5.0,5.0,0.6871842709362768,4.23,4.0,4.0,2.08,3.93,4.0,4.0,0.78,0.7493,0.84875,0.6255,0.2734602197115804,0.0555555555555555,0.0,0.0,0.2357022603955158,"Although the material is very interesting, there is a lot of reading. The pop quizzes are super annoying so if you're taking the class for a letter grade I would recommend a reading group. I would also recommend reading smart. The pop quizzes aren't hard. When it comes to articles read the introduction, read the conclusion, and skim smart (something I regret not doing). In terms of books, you could break up the reading. I think the readings are very interesting but very hard to do especially if you have other reading–heavy classes. I saw ""GEM"" in other course evaluations and I would have to disagree. Readings are super important later in the class when it becomes more discussion focused or else class is awkward. The sections were super fun and hands on. Overall, if you're taking it for fun like I was, I would recommend to take it pass fail (my biggest regret). Also the first midterm is very memorization focused. I would also recommend you answer the questions as you go or find a group to answer them as you go because if not the study guide becomes quite unmanageable. The final is a little easier if you've gone to most or all the lectures and have done most or at least half of the readings. Despite its difficulty for me, I'm glad I took this class. You learn sooo much. This class is also moderately DAO accommodation friendly. I would recommend communicating your needs throughout the semester (although communication can be hard).  Also remember to ask for extensions early if you need them. Also do the extra credit throughout the semester. Don't miss class because you can't make up the pop quizzes unless you have a good reason such as a doctor's note. Also keep in mind some weeks it's less work while other weeks when you have assignments such as a project, the midterm, the final paper, and the final it's a LOT more work.",0.9965,,0.0,"Kind of a gem? The readings were awful and long but the class itself was really interesting, and you could probably get away with not doing too many readings if you're smart about it. Assignments were easier than I thought they would be but that might be because I actually studied for it. It definitely got me thinking.",0.9299,,,,,,,,,
ANTHRO 1450,"Water, Infrastructure, and Meaning 001",Caton,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ae98af40176677a420cb618798d71e31de946af904e316cc4122ad7e1f903f765dc32c4433fda54596c5b2b39b777076&ReportType=2&regl=en-US,FAS-204965-2228-1-1-001,FAS-204965-2228-1-1-001(Caton),10.0,13.0,4.4,4.5,5.0,0.6666666666666667,4.56,5.0,5.0,0.4988876515698588,5.33,5.0,3.0,2.65,4.2,4.5,5.0,1.03,0.62248,0.6697,0.7753,0.299466545710869,0.0,0.0,0.0,0.0,"I took ANTHRO 1450 as my first anthropology class, and I would highly recommend it. You learn more than you could have imagined about water and water infrastructure in Boston's waterworld, and going on the 3 field trips (Hobbs Brook, Chestnut Hill Waterworks, and Fresh Pond) is refreshing, exciting, and valuable in terms of furthering your learning). The interviews with the authors of the reading are also a really cool experience.The course staff is also excellent: Professor Caton is an effective lecturer and has a wealth of knowledge about the topic area. Majid is awesome TF, super accessible and provides helpful feedback . The class is also great for its inter disciplinary nature and the diversity of academic backgrounds of the participants in it.",0.9898,,0.0,,0.0,,,,,,,,,
ANTHRO 1610,Ethnographic Research Methods 001,Herranen-Tabibi,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=618d0f7bc4fc5e28b48b2aa73481c8bc8709e1ff13038fb8894b24f1794d69f735a76679def0be161cd260b4ca39f3c3&ReportType=2&regl=en-US,FAS-119379-2228-1-1-001,FAS-119379-2228-1-1-001(Herranen-Tabibi),17.0,22.0,4.21,4.0,4.0,0.8596452169295767,5.0,5.0,5.0,0.0,5.08,5.0,5.0,1.5,4.15,4.0,4.0,0.9,0.626,0.8877,0.4927,0.5933427677152558,0.0,0.0,0.0,0.0,"this class is so, so, so good and SO fun (especially in devising and carrying out your own ethnography). annikki and chiara are both incredibly supportive –– they are both blessings in the classroom and do so much to cultivate an enriching class community i was always excited to see on thursday afternoon. you get so much out of this class just by engaging thoughtfully with course materials and the project, and it will make you a much better researcher by the end of it!",0.9762,This class is so so boring. The out of class assignments are engaging but the in–class time is extremely dull.,-0.6661,,0.0,119379,For Undergraduate and Graduate Students,Anthropology,Anthropology,,Social Sciences,,Seminar,Ethnographic Research Methods
ANTHRO 1707,"Ethnic Studies, Anthropology, and the Transpacific Ethnography of Asian America 001",Garza,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a830064283ed5da56078ebdcfdf8f8b931ff31b8a1994449a49681b965e7cc61e5a6192df92afa326164c927da2d3ecd&ReportType=2&regl=en-US,FAS-218758-2228-1-1-001,FAS-218758-2228-1-1-001(Garza),10.0,11.0,4.78,5.0,5.0,0.4163331998932265,5.0,5.0,5.0,0.0,5.56,6.0,6.0,2.92,4.89,5.0,5.0,0.33,0.8174375,0.8409,0.7783,0.1475377233843215,0.0,0.0,0.0,0.0,"This is potentially one of the best, if not the best, discussion–based seminars I've had (and I've taken ten at the College). The time flew by in each 2 hr 45 min session. Joy is an excellent facilitator and the students in this class seemed to have done the reading and came to each class engaged. Each class had a good combination of activities (warm–up questions, background information and summary of the main arguments of the texts so everyone is on the same page, solo reflection / partner discussion, structured group discussion based on student–written discussion posts, student presentations on related texts) so things never felt dull. The readings are manageable and interesting. The only assignments are weekly Canvas posts and short writing assignments that build towards your final paper / project (which she is very flexible on).  Overall, one of the best classes I've taken. Given the general dearth of ethnic studies courses here, I am very glad I got the chance to take this while Prof. Garza was still here.",0.985,,0.0,,0.0,,,,,,,,,
ANTHRO 1716,"Neoliberalism: Empire, Extraction, and the Making of the Global Social Order 001",Keshavjee,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b44c1cf4619e299e126448d3d48c14b8b283f1e11af9aec2750d04b52bd50c47792261ec40d5831454cc45f377809516&ReportType=2&regl=en-US,FAS-218192-2228-1-1-001,FAS-218192-2228-1-1-001(Keshavjee),8.0,12.0,4.88,5.0,5.0,0.3365521159236311,5.0,5.0,5.0,0.0,6.75,6.0,5.0,1.98,4.88,5.0,5.0,0.35,0.4994166666666667,0.62895,-0.4548,0.4998180845734442,0.0,0.0,0.0,0.0,"Take this class–– it was one of the best classes I've taken at Harvard. It's pretty much all readings and then a twenty page paper at the end, so the workload throughout the semester is flexible: you will get as much as you put in, and if you do the readings carefully this class will actually change the way you think about the world. If you are scared of the paper at the end don't worry. You can write it on so many different topics it will 100% be a meaningful experience to think through something you care about; 20 pages is not as long as it seems.",0.9301,"Neoliberalism is so taken–for–granted and pervasive as an ideology that it can be near–impossible for the average person be lucid and objective about this matter without taking a course like this. For me, ANTHRO 1716 was truly eye–opening and constituted a turning point in my own thinking about the world and social sciences. The only downside is that the revelations can be kind of depressing at some times.",-0.4548,,0.0,,,,,,,,,
ANTHRO 1716,"Neoliberalism: Empire, Extraction, and the Making of the Global Social Order 001",Silverstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f9b57c4756be649b7290f5eeaace6149c9af5e782d5afe87535dacf049170cd010ca6bf91c72d608dc8bb970e5217cc4&ReportType=2&regl=en-US,FAS-218192-2228-1-1-001,FAS-218192-2228-1-1-001(Silverstein),8.0,12.0,4.88,5.0,5.0,0.3365521159236311,4.67,5.0,5.0,0.4725815626252608,6.75,6.0,5.0,1.98,4.88,5.0,5.0,0.35,0.4994166666666667,0.62895,-0.4548,0.4998180845734442,0.0,0.0,0.0,0.0,"Take this class–– it was one of the best classes I've taken at Harvard. It's pretty much all readings and then a twenty page paper at the end, so the workload throughout the semester is flexible: you will get as much as you put in, and if you do the readings carefully this class will actually change the way you think about the world. If you are scared of the paper at the end don't worry. You can write it on so many different topics it will 100% be a meaningful experience to think through something you care about; 20 pages is not as long as it seems.",0.9301,"Neoliberalism is so taken–for–granted and pervasive as an ideology that it can be near–impossible for the average person be lucid and objective about this matter without taking a course like this. For me, ANTHRO 1716 was truly eye–opening and constituted a turning point in my own thinking about the world and social sciences. The only downside is that the revelations can be kind of depressing at some times.",-0.4548,,0.0,,,,,,,,,
ANTHRO 1716,"Neoliberalism: Empire, Extraction, and the Making of the Global Social Order 001",Zeve,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a2b887e96668e93692a2c237e6c2e48074eb0f9de0d80ec10fbbc0e69e1a1a841183d8733e2cf7cfe2390cc143e3cf89&ReportType=2&regl=en-US,FAS-218192-2228-1-1-001,FAS-218192-2228-1-1-001(Zeve),8.0,12.0,4.88,5.0,5.0,0.3365521159236311,4.83,5.0,5.0,0.3775251680686369,6.75,6.0,5.0,1.98,4.88,5.0,5.0,0.35,0.4994166666666667,0.62895,-0.4548,0.4998180845734442,0.0,0.0,0.0,0.0,"Take this class–– it was one of the best classes I've taken at Harvard. It's pretty much all readings and then a twenty page paper at the end, so the workload throughout the semester is flexible: you will get as much as you put in, and if you do the readings carefully this class will actually change the way you think about the world. If you are scared of the paper at the end don't worry. You can write it on so many different topics it will 100% be a meaningful experience to think through something you care about; 20 pages is not as long as it seems.",0.9301,"Neoliberalism is so taken–for–granted and pervasive as an ideology that it can be near–impossible for the average person be lucid and objective about this matter without taking a course like this. For me, ANTHRO 1716 was truly eye–opening and constituted a turning point in my own thinking about the world and social sciences. The only downside is that the revelations can be kind of depressing at some times.",-0.4548,,0.0,,,,,,,,,
ANTHRO 1822,"Environment, Health, and Justice 001",Herranen-Tabibi,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ac413482d112e5a5153ffff2be3b2e068a2a25fb8575fd1b13e442f6346634d16630f20887ec1093a1658166c6fcdd9d&ReportType=2&regl=en-US,FAS-220767-2228-1-1-001,FAS-220767-2228-1-1-001(Herranen-Tabibi),8.0,12.0,4.38,4.0,5.0,0.70317525947985,4.63,5.0,5.0,0.4868569635635265,7.88,5.5,5.0,5.64,4.25,4.5,5.0,0.89,0.85455,0.86755,0.8264,0.1210588975113628,0.0,0.0,0.0,0.0,"This class was really thought–provoking and I'm glad I took it! It really opened my eyes to how pressing climate change is to matters of health, and forced me to contend with my responsibility to respond as an aspiring physician. It can be a lot of reading but Annikki only asks that you post a low–stakes 1 paragraph discussion post before class and after class each week, so you can definitely take it easy on the weeks that other classes are all–consuming. The final project experience was actually really cool – there was a great distribution of research papers and creative projects, and everyone did such amazing things ranging from quantitative modeling of eco–syndemics to writing and illustrating a children's book!",0.9828,,0.0,,0.0,,,,,,,,,
ANTHRO 1827,Introduction to Social Medicine Methods and Practice 001,Keshavjee,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a61581ddf48058fd245ed7245616b9cea05dbd0a1ff66769e6d96f0dd0eafbb7a69e107245f35c33fd430be51a587f0b&ReportType=2&regl=en-US,FAS-220763-2228-1-1-001,FAS-220763-2228-1-1-001(Keshavjee),13.0,15.0,4.58,5.0,5.0,0.6371495868001453,4.5,4.5,4.0,0.502518907629606,4.45,4.0,3.0,1.44,4.58,5.0,5.0,0.67,0.8006666666666666,0.8534999999999999,0.882,0.1626368060024134,0.0,0.0,0.0,0.0,"If you are looking to take a class to explore a new topic, this is the one for you. Social medicine is a fascinating field that has something for everybody. This class ensures that you will explore social medicine for all that it is. The readings aren't too much and the classes are super interesting. I definitely recommend taking this course.",0.936,,0.0,,0.0,,,,,,,,,
ANTHRO 1827,Introduction to Social Medicine Methods and Practice 001,Silverstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=812b5e691706d93020142dbc793e9c40b18099beadbc28dbb0470fb481e1e9dc1569e279db978a20145ed7e454f1642f&ReportType=2&regl=en-US,FAS-220763-2228-1-1-001,FAS-220763-2228-1-1-001(Silverstein),13.0,15.0,4.58,5.0,5.0,0.6371495868001453,4.0,5.0,5.0,1.4177446878757824,4.45,4.0,3.0,1.44,4.58,5.0,5.0,0.67,0.8006666666666666,0.8534999999999999,0.882,0.1626368060024134,0.0,0.0,0.0,0.0,"If you are looking to take a class to explore a new topic, this is the one for you. Social medicine is a fascinating field that has something for everybody. This class ensures that you will explore social medicine for all that it is. The readings aren't too much and the classes are super interesting. I definitely recommend taking this course.",0.936,,0.0,,0.0,,,,,,,,,
