course_code,course_title,course_teacher,link,fas_code,unique_code,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability,course_id,course_level,department,subject,qrd,divisional,gened,course_component,course_title_2024
AFRAMER 201,Theory and Race in Africa 001,Agbiboa,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=07fefcc35cd1abfd6567afbdf0751cef683008526bfc4103b1c53b76b276a225e4f23ccf78b733e5ff9bbbd1a240afba&ReportType=2&regl=en-US,FAS-222201-2238-1-1-001,FAS-222201-2238-1-1-001(Agbiboa),10.0,10.0,4.6,5.0,5.0,0.6666666666666666,4.8,5.0,5.0,0.4020151261036848,3.7,3.5,3.0,1.42,4.9,5.0,5.0,0.32,0.5581,0.6808,0.6808,0.2983945765816352,0.0,0.0,0.0,0.0,"It is an interesting class, and a nice opportunity to get familiar with some topics related to African studies.",0.8074,,0.0,,0.0,,,,,,,,,
AFRAMER 232,The Ethnic Avant-Garde 001,McCarthy,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7625b4cc050444f980f4f6f802092f38668af546f53e4969162e5979652c41abfaee76ee1bb72f590d0e12e7c0f7ee39&ReportType=2&regl=en-US,FAS-222658-2238-1-1-001,FAS-222658-2238-1-1-001(McCarthy),8.0,12.0,4.75,5.0,5.0,0.4351941398892446,4.88,5.0,5.0,0.3365521159236311,8.25,8.0,5.0,3.45,4.75,5.0,5.0,0.46,0.621325,0.76065,0.964,0.429059695730093,0.0,0.0,0.0,0.0,This is a fantastic course! Be prepared for a lot of reading but the materials you'll encounter will make it well worth it. Dr. McCarthy is an amazing instructor who will prompt engaging discussion and make astounding connections between the texts.,0.964,,0.0,,0.0,,,,,,,,,
AFRIKAAN AA,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e02d684636db96c2610f3bda62ba6eb00b0f84f2b3d168fc8d50d859d70c044e1d3925bdf73fa6f1d8694e951ea2063e&ReportType=2&regl=en-US,FAS-109427-2238-1-1-001,FAS-109427-2238-1-1-001(Mugane),5.0,7.0,4.8,5.0,5.0,0.4020151261036848,0.0,0.0,0.0,-1.0,3.75,3.0,3.0,1.5,4.8,5.0,5.0,0.45,0.8919333333333334,0.8996,0.9833,0.0954312492495687,0.0,0.0,0.0,0.0,This class is amazing. The small community in the class really makes it strong. You learn a lot while having a great time.  Adriaan is amazing! Really caring and helps you improve from day one.  Great class.,0.9833,,0.0,,0.0,109427,For Undergraduate and Graduate Students,African & African Amer Studies,Afrikaans,,None,,Seminar,Elementary Afrikaans
AMHARIC AA,Elementary Amharic 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f86a63c2c190d1eeacf386a2e69296666298f44582dac0e9dc91568b5344797bdf347b52279767b88ea8d54b4ff9e586&ReportType=2&regl=en-US,FAS-126300-2238-1-1-001,FAS-126300-2238-1-1-001(Mugane),8.0,14.0,4.0,4.0,3.0,0.8206518066482897,0.0,0.0,0.0,-1.0,2.17,2.0,2.0,1.17,4.17,4.5,5.0,0.98,0.4646,0.8588,0.8957,0.5645850157416508,0.0,0.0,0.0,0.0,"There's definitely more of an emphasis on writing than speaking. If you're a true beginner, you're going to need to put work in outside of class. Other than that, this class is easy and rewarding.",0.8957,"It's hard to learn the language from this course because it has a lot of relevant information presented to you every week and it's hard to remember it all. Additionally, only one week is spent on learning the alphabet so if you don't take the time to learn it yourself outside of class and assignments, you won't learn it.",-0.2023,,0.0,126300,For Undergraduate and Graduate Students,African & African Amer Studies,Amharic,,None,,Seminar,Elementary Amharic
HAITIAN AA,Elementary Haitian Creole 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=37706e69d37bca4b6777565f9651a171fcbedb76c2ac11c0234d82d5e136cebf5cd3df5bb266c6e1268878473593c918&ReportType=2&regl=en-US,FAS-126306-2238-1-1-001,FAS-126306-2238-1-1-001(Mugane),5.0,5.0,1.6,1.0,1.0,0.8040302522073697,4.5,4.5,4.0,0.502518907629606,1.33,1.0,1.0,0.58,2.25,2.5,3.0,0.96,0.72245,0.72245,0.4921,0.3257640940926424,0.0,0.0,0.0,0.0,"This is certainly a Beginner course. Sometimes the pace can be quite slow. On the other hand, the workload is very manageable and you do slowly but surely make progress. If you are keen on learning one of the major Caribbean languages, then you should definitely make the most of the provision that the ALP offers.",0.9528,,0.0,,0.0,126306,Primarily for Undergraduate Students,African & African Amer Studies,Haitian,,None,,Seminar,Elementary Haitian Creole
IGBO AA,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5f1ea0f50c20a992090cc38b1d1faaba482ed67d9ca6f06c44b838888fcf2e5045725e56c37f25099d9483567284e12f&ReportType=2&regl=en-US,FAS-126308-2238-1-1-001,FAS-126308-2238-1-1-001(Mugane),6.0,11.0,2.5,3.0,3.0,0.7697241372886473,0.0,0.0,0.0,-1.0,1.8,2.0,2.0,0.84,2.4,3.0,3.0,0.89,0.2251333333333333,0.5709,-0.8504,0.951022062485058,0.0,0.0,0.0,0.0,"Have some patience with the professor. She comes from a job to teach the class, but shes a great, funny woman and is passionate about spreading the Igbo language. It's a harder language if you've never heard Igbo before, but I had never heard it and I was okay.",0.9549,this was a TERRIBLE CLASS because professor Inky was such a bad and inconsistent teacher who would never take the blame for the mistakes she made. She would blame us for not getting assignments or projects in even though we didn't know we had them. she was just always harsh when it came to giving people time to understand the language. she was just a terrible teacher and you won't learn anything from her. we didn't even speak in igbo which is the whole point of the course. the tests were random as well. just don't take this class with her.,-0.8504,,0.0,126308,Primarily for Undergraduate Students,African & African Amer Studies,Igbo,,None,,Seminar,Elementary Igbo
JAMAICAN AA,Elementary Jamaican Patois 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ae2709b5ac015c7d9004d6efe9f8ecfac1e0143113dc8a4855c8df7022ca2ea438b55fc5f774f876a98b05ea2aa36663&ReportType=2&regl=en-US,FAS-156750-2238-1-1-001,FAS-156750-2238-1-1-001(Mugane),7.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-1.0,1.6,1.0,1.0,0.89,5.0,5.0,5.0,0.0,0.8783,0.877,0.9184,0.0801595908173189,0.0,0.0,0.0,0.0,"If you are interested in Jamaica and the culture, take the course. It is best to learn with an intent of actually learning it. Kara–Sue is awesome and such a humble person, and has so many fun stories and ways of helping you learn the language and culture. Do not be scared of taking the class just because you do not have a relation to Jamaica. It is open to everyone and Kara–Sue makes it a welcoming environment.",0.9686,,0.0,,0.0,156750,Primarily for Undergraduate Students,African & African Amer Studies,Jamaican,,None,,Seminar,Elementary Jamaican Patois
OROMO AA,Elementary Oromo 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7963cfd469b678a128a743349fe0a634c67120c3725173326d0a7a81f982924f820fb4480a7dc412b2f4e369c9a93901&ReportType=2&regl=en-US,FAS-206575-2238-1-1-001,FAS-206575-2238-1-1-001(Mugane),5.0,8.0,3.8,4.0,5.0,1.1720654306553768,0.0,0.0,0.0,-1.0,2.8,2.0,2.0,1.92,4.4,5.0,5.0,0.89,0.8044,0.8588,0.9501,0.1817228108961557,0.0,0.0,0.0,0.0,"I loved this class, and Professor Degaga has been fantastic in and out of the classroom. I strongly recommend enrolling in this class and investing time in learning the language and culture of the Oromo. For Oromo and non–Oromo alike, this language and culture is so meaningful and should be engaged with intentionally.",0.9501,,0.0,,0.0,206575,Primarily for Undergraduate Students,African & African Amer Studies,Oromo,,None,,Seminar,Elementary Oromo
WSTAFRCN AA,Elementary West African Pidgin 001,Ehineni,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f245914f42dbb43ca83bd61b7432a2429919d5a7f11998a4e73266ffeeb50c5dc7609b07cc3c4b3045ff98d7504cc31d&ReportType=2&regl=en-US,FAS-204110-2238-1-1-001,FAS-204110-2238-1-1-001(Ehineni),13.0,17.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,2.67,2.0,2.0,2.16,5.0,5.0,5.0,0.0,0.59414,0.8074,0.8074,0.4012156689362967,0.0,0.0,0.0,0.0,"Take this class!! It is very fascinating to learn about pidgin, and the way the course is taught ensures that you can learn the language well during the course sessions. Taiwo is also an amazing and knowledgeable instructor who wants his students to succeed.",0.9257,,0.0,,0.0,204110,Primarily for Undergraduate Students,African & African Amer Studies,West African Pidgin,,None,,Seminar,Elementary West African Pidgin
YORUBA AA,Elementary Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f1ec6f34406079fd2f1540c3005ff8455ca51a13cd6884d1e262c84e8d2258f0342353a070e579f4ac75c5779560ad2e&ReportType=2&regl=en-US,FAS-120952-2238-1-1-001,FAS-120952-2238-1-1-001(Ehineni),7.0,9.0,4.71,5.0,5.0,0.4560480215720686,4.86,5.0,5.0,0.348735088019777,2.8,2.0,2.0,1.3,4.71,5.0,5.0,0.49,0.6655666666666666,0.6597,0.6597,0.0741742093542852,0.0,0.0,0.0,0.0,"Yoruba is a very fun and low–stress class, where you can definitely get back as much as you put in.",0.7425,,0.0,,0.0,120952,Primarily for Undergraduate Students,African & African Amer Studies,Yoruba,,None,,Seminar,Elementary Yoruba
ZULU AA,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5997435bbb0a83988bbe8737d92f44682e5bed72eebcacc7320c9b601507b19eb18284e0b06cb13beb1931576b8d9444&ReportType=2&regl=en-US,FAS-126316-2238-1-1-001,FAS-126316-2238-1-1-001(Mugane),16.0,29.0,4.79,5.0,5.0,0.4093601807403323,0.0,0.0,0.0,-1.0,3.0,2.5,1.0,2.35,4.86,5.0,5.0,0.36,0.44328,0.4543,0.0,0.3679760070680937,0.1,0.0,0.0,0.3162277660168379,"As an athlete who took this class because it met only twice a week, I got so much more out of it than I anticipated. My teacher Ntuli was incredible and cares so much about her students. It's just a fun class and great to a great place to bond with other students as well.",0.9485,,0.0,Ntuli is a gem and makes this class worthwhile.,0.34,126316,Primarily for Undergraduate Students,African & African Amer Studies,Zulu,,None,,Seminar,Elementary Zulu
ANTHRO 98A,Junior Tutorial in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c35dd632e44a76ed4a09b15bb3850b5502116a67c74e2ec0bd1703d07e6f5291c57736ca8794cb8dcd58def88d4f08f&ReportType=2&regl=en-US,FAS-205494-2238-1-1-001,FAS-205494-2238-1-1-001(Khaira),13.0,18.0,4.2,4.5,5.0,0.8761716542303613,4.6,5.0,5.0,0.6666666666666666,3.83,4.0,4.0,0.75,4.44,5.0,5.0,0.88,0.6861,0.8268,0.3164,0.3231993038358839,0.0,0.0,0.0,0.0,"This course was a wonderful experience! Damina clearly put much time and energy into reading selection and assignment curation, and each step that we took towards our Junior Essay and/or future Senior Thesis felt purposeful. With a variety of assignment types, lecture topics, and guest speakers, this course definitely gave everyone something meaningful to take away, regardless of their interests/future career plans.",0.9151,,0.0,,0.0,205494,Primarily for Undergraduate Students,Anthropology,Anthropology,,Social Sciences,,Tutorial,Junior Tutorial in Anthropology
ANTHRO 1084,Experimental Archaeology 001,Hlubik,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cfed47666137b322fb2a1f469b8de58432bbf9b98030443f3cbf651c1baeb5b6f3dfd067bee4b74a2e26c3a98321f0c1&ReportType=2&regl=en-US,FAS-222157-2238-1-1-001,FAS-222157-2238-1-1-001(Hlubik),5.0,8.0,4.5,4.5,4.0,0.502518907629606,4.75,5.0,5.0,0.4351941398892446,1.6,2.0,2.0,0.55,4.25,4.5,5.0,0.96,0.475575,0.465,0.0,0.5494181672460422,0.0,0.0,0.0,0.0,"Take this class, it is hands down the BEST class I have taken at Harvard so far. The course isn't particularly intensive, it's a three–hour lab once a week, so if you are efficient in class, you can complete the majority of your work within class each week. (If you don't do the assignments in class, expect to spend 2–3 hours a week outside of class working). In terms of the assignments, they were all labs with associated lab write–ups. I have never had more fun learning about topics than I have in this class. If you're interested in anthropology or archeology, and you'd like to get some hands–on experience doing the work that field professionals do, I would highly recommend this course. Sarah is an excellent teacher who has a fantastic way of teaching without lecturing, and she was always available and ready to help with any difficulties. 10/10.",0.9723,,0.0,,0.0,,,,,,,,,
ANTHRO 1130,Archaeology of Harvard Yard 001,Capone,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=79ffbe499a043a9b73ba13eac987085a79dbe1429c443a41d63adbf434bd4fab433cb53a398f6da5148d98c56f2e1220&ReportType=2&regl=en-US,FAS-121141-2238-1-1-001,FAS-121141-2238-1-1-001(Capone),10.0,14.0,4.8,5.0,5.0,0.4020151261036848,5.0,5.0,5.0,0.0,3.25,3.0,3.0,1.28,4.7,5.0,5.0,0.48,0.86732,0.9128,0.6988,0.1264226522423888,0.0,0.0,0.0,0.0,"This is an amazing course.  This class affords the incredible opportunity to excavate on campus and develop archaeological skills needed for excavating, record–keeping, identifying artifacts, and understanding them through the lens of historical archaeology. You learn to engage more meaningfully with Harvard's history, and have the chance to actively contribute to our understanding of it via our findings. We also share our conclusions with the public thanks to public archaeology initiatives. Don't worry that this is a two–semester course; I am so excited to come back next semester to analyze and interpret what we have found. Trish (Dr. Capone) and Diana (Dr. Loren) and our TF Veronica are all incredible instructors, and are so passionate and understanding.",0.9783,,0.0,,0.0,,,,,,,,,
